nr	Standard_concentration	Sample	Fucose	Rhamnose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Mannose	Xylose	Gluconic_acid	Muramic_acid	Galacturonic_acid	Glucuronic_acid	Mannuronic_acid	Iduronic_acid
30	NA	S-WC7E	98.737	n.a.	n.a.	n.a.	n.a.	156.934	n.a.	3.488	6.642	10.877	n.a.	3.183	n.a.	n.a.	n.a.
31	NA	S-WC9E	185.099	n.a.	n.a.	n.a.	n.a.	304.062	n.a.	9.131	11.416	9.732	n.a.	7.713	n.a.	n.a.	n.a.
32	0.0002	Standard	4.395	18.456	11.153	n.a.	13.559	3.855	n.a.	18.979	12.827	21.707	23.043	21.009	21.188	17.3700	n.a.
33	NA	S-WC7E	126.463	3.049	n.a.	n.a.	n.a.	201.702	n.a.	15.224	14.274	8.959	n.a.	3.649	n.a.	n.a.	n.a.
34	NA	S-WC9E	235.733	n.a.	n.a.	n.a.	n.a.	383.764	n.a.	15.368	12.949	7.335	n.a.	8.115	n.a.	n.a.	n.a.
35	NA	S-WC12E	6.680	n.a.	n.a.	n.a.	n.a.	4.103	n.a.	n.a.	8.480	8.220	n.a.	2.647	n.a.	n.a.	n.a.
36	NA	S-WC6E	18.729	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.377	8.290	9.442	n.a.	9.204	n.a.	n.a.	n.a.
37	NA	Extraction_standard_high	221.054	n.a.	n.a.	n.a.	n.a.	33.098	n.a.	n.a.	n.a.	9.794	n.a.	5.289	n.a.	n.a.	n.a.
38	NA	A-WC6E	1201.748	13.033	n.a.	n.a.	2.680	138.406	n.a.	11.082	68.078	8.751	n.a.	7.712	39.881	n.a.	n.a.
39	NA	S-WC8E	26.428	0.808	n.a.	n.a.	n.a.	18.435	n.a.	19.994	14.671	12.716	n.a.	7.704	n.a.	n.a.	n.a.
40	NA	A-WC2I	6.425	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	8.223	n.a.	1.995	n.a.	n.a.	n.a.
41	NA	S-WC11E	69.599	n.a.	n.a.	n.a.	n.a.	129.175	n.a.	0.329	7.077	7.780	n.a.	n.a.	n.a.	n.a.	n.a.
42	NA	Extraction_blank_bremen	68.531	n.a.	n.a.	n.a.	n.a.	7.966	n.a.	n.a.	4.857	5.473	n.a.	3.858	0.801	n.a.	n.a.
43	0.0004	Standard	47.182	41.917	31.816	48.7342	34.952	38.066	197.854	49.586	41.358	30.869	40.349	35.848	47.881	35.2561	n.a.
44	NA	S-WC4I	110.097	0.087	n.a.	n.a.	n.a.	148.833	25.940	8.228	13.621	10.222	n.a.	5.992	n.a.	n.a.	n.a.
45	NA	Extraction_blank_bremen	9.716	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.430	n.a.	6.794	n.a.	6.2618	n.a.
46	NA	A-WC5I	60.310	0.613	n.a.	n.a.	n.a.	123.954	n.a.	1.492	4.444	6.424	n.a.	6.075	n.a.	4.7884	n.a.
47	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	557.485	1440.512	1008.443	9.105	n.a.	n.a.	n.a.	n.a.	n.a.
48	NA	S-WC9E	190.747	n.a.	n.a.	n.a.	n.a.	346.930	n.a.	6.502	16.543	8.672	n.a.	7.377	n.a.	5.3505	n.a.
49	NA	S-WC9I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.639	n.a.	n.a.	n.a.	5.0257	n.a.
50	NA	S-WC6E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	5.908	n.a.	n.a.	n.a.	8.3650	n.a.
51	NA	A-WC4E	1336.503	6.926	2.446	n.a.	9.163	162.413	n.a.	16.374	92.167	6.556	n.a.	n.a.	70.757	17.1767	n.a.
52	NA	S-WC7E	124.195	n.a.	n.a.	n.a.	n.a.	217.011	n.a.	17.602	14.170	4.214	n.a.	5.011	n.a.	5.9777	n.a.
53	NA	S-WC12E	1.545	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.101	n.a.	n.a.	n.a.	5.5386	n.a.
54	0.001	Standard	156.863	94.528	82.681	105.3096	89.803	129.650	143.093	144.094	132.254	65.827	106.685	79.373	104.942	53.9792	n.a.
55	NA	Extraction_blank_finland	45.081	n.a.	n.a.	n.a.	n.a.	123.401	n.a.	n.a.	n.a.	4.579	n.a.	3.783	n.a.	n.a.	n.a.
56	NA	S-WC5I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.193	1.730	n.a.	4.084	n.a.	n.a.	n.a.
57	NA	Extraction_blank_bremen	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.176	n.a.	1.901	n.a.	n.a.	n.a.
58	NA	S-WC10I	228.755	n.a.	n.a.	n.a.	n.a.	20.527	n.a.	n.a.	14.991	3.900	n.a.	4.327	n.a.	n.a.	n.a.
59	NA	Extraction_blank_finland	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	5.074	n.a.	n.a.	n.a.	n.a.	n.a.
60	NA	S-WC12E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.121	n.a.	n.a.	n.a.	n.a.	n.a.
61	NA	A-WC4E	1264.481	11.720	1.509	n.a.	3.531	140.486	n.a.	13.241	80.700	5.850	n.a.	3.188	48.902	n.a.	n.a.
62	NA	A-WC2E	1595.166	14.731	2.546	n.a.	8.030	292.891	n.a.	7.681	67.831	5.323	n.a.	2.893	38.146	n.a.	n.a.
63	NA	S-WC6I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.374	n.a.	n.a.	n.a.	n.a.	n.a.
64	NA	S-WC11I	170.286	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.017	5.773	n.a.	n.a.	n.a.	n.a.	n.a.
65	0.002	Standard	281.498	173.498	167.409	190.2795	177.595	266.859	310.232	277.200	260.399	115.146	194.766	183.024	194.137	91.7326	n.a.
66	NA	Extraction_standard_low	27.455	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.625	n.a.	n.a.	n.a.	5.6850	n.a.
67	NA	Extraction_standard_high	145.168	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.522	n.a.	n.a.	n.a.	3.5695	n.a.
68	NA	A-WC2I	7.663	n.a.	n.a.	n.a.	n.a.	1.330	n.a.	n.a.	n.a.	3.499	n.a.	n.a.	n.a.	4.6346	n.a.
69	NA	S-WC8E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	8.556	n.a.	n.a.	n.a.	4.8702	n.a.
70	NA	S-WC10E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.337	n.a.	n.a.	n.a.	3.5090	n.a.
71	NA	Extraction_standard_low	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.937	n.a.	n.a.	n.a.	4.9112	n.a.
72	NA	Extraction_blank_bremen	23.900	n.a.	n.a.	n.a.	n.a.	1.174	n.a.	n.a.	n.a.	7.851	n.a.	n.a.	n.a.	3.8280	n.a.
73	NA	A-WC6I	772.249	7.161	n.a.	n.a.	2.409	141.243	n.a.	n.a.	63.023	10.437	n.a.	n.a.	41.900	4.7088	n.a.
74	NA	S-WC2E	219.433	n.a.	n.a.	n.a.	n.a.	397.907	n.a.	n.a.	13.544	10.739	n.a.	8.769	n.a.	4.7120	n.a.
75	NA	Extraction_blank_bremen	8.714	n.a.	n.a.	n.a.	n.a.	10.643	n.a.	n.a.	n.a.	8.269	n.a.	n.a.	n.a.	7.3220	n.a.
76	0.01	Standard	1057.480	716.332	718.972	693.0798	773.312	953.573	1323.806	1071.459	1023.294	676.131	806.328	766.333	867.583	444.2405	505.6649
77	NA	A-WC6E	804.849	5.866	1.866	n.a.	6.364	125.143	n.a.	n.a.	48.643	10.546	n.a.	n.a.	29.895	6.6328	n.a.
78	NA	A-WC2I	12.380	n.a.	n.a.	n.a.	n.a.	7.753	n.a.	n.a.	6.527	4.938	n.a.	5.237	n.a.	4.8146	n.a.
79	NA	Extraction_blank_bremen	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	33.954	n.a.	n.a.	4.119	n.a.	8.162	n.a.	4.1765	n.a.
80	NA	S-WC10I	220.675	n.a.	n.a.	n.a.	n.a.	24.710	n.a.	n.a.	13.370	9.111	n.a.	4.169	n.a.	2.5093	n.a.
81	NA	Extraction_blank_bremen	4.869	n.a.	n.a.	n.a.	n.a.	12.022	n.a.	n.a.	n.a.	8.596	n.a.	2.476	n.a.	4.1978	n.a.
82	NA	S-WC11E	23.659	n.a.	n.a.	n.a.	n.a.	81.774	n.a.	n.a.	n.a.	7.846	n.a.	n.a.	n.a.	3.8150	n.a.
83	NA	S-WC1I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.004	n.a.	4.601	n.a.	4.4899	n.a.
84	NA	Extraction_standard_low	5.834	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.711	n.a.	3.023	n.a.	4.9112	n.a.
85	NA	S-WC8E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.963	n.a.	n.a.	n.a.	10.4584	n.a.
86	NA	S-WC4I	70.379	n.a.	n.a.	n.a.	n.a.	116.705	n.a.	5.399	10.550	5.017	n.a.	n.a.	n.a.	9.6698	n.a.
87	0.0001	Standard	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	11.461	n.a.	2.853	n.a.	14.6788	n.a.
88	NA	S-WC6I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.999	n.a.	n.a.	n.a.	11.8687	n.a.
89	NA	S-WC4E	375.789	n.a.	n.a.	n.a.	n.a.	613.462	n.a.	n.a.	15.057	3.606	n.a.	n.a.	n.a.	12.8823	n.a.
90	NA	A-WC5I	38.683	n.a.	n.a.	n.a.	n.a.	98.487	n.a.	n.a.	n.a.	5.388	n.a.	n.a.	n.a.	11.2200	n.a.
91	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	267.298	174.834	255.560	4.096	n.a.	n.a.	n.a.	16.4016	n.a.
92	NA	A-WC3I	43.004	5.644	n.a.	n.a.	2.777	16.331	n.a.	n.a.	14.370	4.781	n.a.	3.237	n.a.	13.4942	n.a.
93	NA	A-WC3E	22.726	n.a.	n.a.	n.a.	n.a.	71.204	n.a.	n.a.	11.324	5.039	n.a.	2.000	n.a.	14.0849	n.a.
94	NA	A-WC3E	33.464	n.a.	n.a.	n.a.	n.a.	86.963	n.a.	n.a.	n.a.	4.393	n.a.	n.a.	n.a.	17.1739	n.a.
95	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	337.320	n.a.	125.255	6.175	n.a.	n.a.	n.a.	12.9895	n.a.
96	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	23.873	188.269	n.a.	174.618	1.625	n.a.	n.a.	n.a.	12.2796	n.a.
97	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1946.610	n.a.	291.985	5.526	n.a.	n.a.	n.a.	13.1875	n.a.
98	0.0002	Standard	n.a.	3.813	5.362	n.a.	6.553	n.a.	n.a.	n.a.	n.a.	3.381	4.928	5.576	0.374	13.6685	n.a.
99	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	296.433	183.342	118.808	1.982	n.a.	n.a.	n.a.	20.7643	n.a.
100	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103	NA	Dialysis_blank_concentrated	100.288	146.387	121.557	271.2888	n.a.	123.502	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
104	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
105	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	345.611	n.a.	n.a.	n.a.	n.a.	n.a.
106	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.939	n.a.	n.a.	n.a.	n.a.	n.a.
107	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.483	n.a.	n.a.	n.a.	n.a.	n.a.
108	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	30.190	1295.970	278.810	1427.261	92.220	n.a.	7.315	n.a.	n.a.	n.a.
109	NA	Dialysis_blank_concentrated	25.444	n.a.	n.a.	n.a.	n.a.	n.a.	153.270	116.222	118.904	77.358	n.a.	n.a.	n.a.	n.a.	n.a.
110	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	67.516	99.473	99.834	67.938	n.a.	n.a.	n.a.	n.a.	n.a.
111	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	421.525	1011.747	967.779	61.283	n.a.	n.a.	n.a.	n.a.	n.a.
112	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	12.970	73.574	105.660	77.772	54.278	n.a.	n.a.	n.a.	n.a.	n.a.
113	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	64.319	92.503	69.307	48.099	n.a.	n.a.	n.a.	n.a.	n.a.
114	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	169.041	52.511	34.523	41.005	n.a.	n.a.	n.a.	n.a.	n.a.
115	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	341.378	n.a.	254.352	35.918	n.a.	n.a.	n.a.	n.a.	n.a.
116	0.0004	Standard	1.995	11.004	11.341	1.6888	14.686	1.200	48.083	n.a.	2.802	50.561	20.586	12.549	n.a.	n.a.	n.a.
117	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	41.3914	n.a.	84.780	2567.516	n.a.	3521.376	30.085	n.a.	29.777	n.a.	n.a.	n.a.
118	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	298.131	90.760	85.091	21.871	n.a.	n.a.	n.a.	n.a.	n.a.
119	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	119.111	54.286	31.638	23.360	n.a.	n.a.	n.a.	n.a.	n.a.
120	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	189.200	n.a.	215.637	22.031	n.a.	n.a.	n.a.	n.a.	n.a.
121	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	112.670	116.801	117.096	23.673	n.a.	n.a.	n.a.	n.a.	n.a.
122	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	194.616	152.289	150.812	21.576	n.a.	n.a.	n.a.	n.a.	n.a.
123	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	135.633	25.371	48.899	14.160	n.a.	n.a.	n.a.	n.a.	n.a.
124	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	78.393	120.212	128.152	14.192	n.a.	n.a.	n.a.	n.a.	n.a.
125	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	269.695	78.157	156.887	15.562	n.a.	n.a.	n.a.	n.a.	n.a.
126	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	52.133	254.708	103.552	139.182	13.701	n.a.	n.a.	n.a.	n.a.	n.a.
127	0.001	Standard	48.677	38.988	39.088	31.9860	46.378	48.509	29.025	44.290	59.492	54.683	52.601	46.821	58.484	n.a.	n.a.
128	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	191.140	127.332	106.756	10.107	n.a.	n.a.	n.a.	n.a.	n.a.
129	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	201.192	148.968	150.385	13.866	n.a.	n.a.	n.a.	n.a.	n.a.
130	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	155.783	103.386	183.656	7.806	n.a.	n.a.	n.a.	n.a.	n.a.
131	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	178.293	156.731	130.208	7.979	n.a.	n.a.	n.a.	n.a.	n.a.
132	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	3.097	180.460	103.827	97.497	7.931	n.a.	n.a.	n.a.	n.a.	n.a.
133	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.727	126.741	101.927	9.640	n.a.	n.a.	n.a.	n.a.	n.a.
134	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	195.328	153.317	169.225	4.924	n.a.	n.a.	n.a.	n.a.	n.a.
135	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	52.873	103.115	87.827	7.904	n.a.	n.a.	n.a.	n.a.	n.a.
136	NA	S-WC2E	104.874	n.a.	n.a.	n.a.	n.a.	178.071	n.a.	n.a.	n.a.	7.663	n.a.	n.a.	n.a.	n.a.	n.a.
137	NA	Dialysis_blank_concentrated	n.a.	n.a.	24.909	n.a.	n.a.	n.a.	187.303	72.150	81.629	8.596	n.a.	n.a.	n.a.	n.a.	n.a.
138	0.002	Standard	111.249	80.763	82.531	80.6523	93.349	117.310	117.266	117.155	130.836	98.593	114.989	97.815	92.082	n.a.	n.a.
139	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	345.016	137.460	199.177	10.210	n.a.	n.a.	n.a.	n.a.	n.a.
140	NA	Dialysis_blank_concentrated	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	195.880	118.594	138.122	2.503	n.a.	n.a.	n.a.	n.a.	n.a.
141	NA	S-WC1E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.875	n.a.	n.a.	n.a.	n.a.	n.a.
142	NA	Extraction_blank_bremen	17.223	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.117	n.a.	n.a.	0.530	n.a.	n.a.
143	NA	Extraction_standard_high	27.379	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.221	n.a.	n.a.	n.a.	n.a.	n.a.
144	NA	Extraction_standard_high	42.640	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.076	n.a.	n.a.	n.a.	n.a.	n.a.
145	NA	S-WC4E	176.824	n.a.	n.a.	n.a.	n.a.	320.950	n.a.	n.a.	n.a.	3.531	n.a.	n.a.	n.a.	n.a.	n.a.
146	NA	Extraction_standard_low	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.453	n.a.	n.a.	n.a.	n.a.	n.a.
147	NA	S-WC9I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.634	n.a.	n.a.	n.a.	n.a.	n.a.
148	NA	A-WC1I	836.296	2.343	n.a.	n.a.	n.a.	67.005	n.a.	n.a.	38.133	2.695	n.a.	n.a.	27.044	n.a.	n.a.
149	0.01	Standard	536.790	437.097	403.490	420.1566	474.500	497.731	700.895	569.506	614.880	533.296	591.297	498.225	514.099	n.a.	327.2634
150	NA	Extraction_standard_high	71.025	n.a.	n.a.	n.a.	n.a.	1.015	n.a.	n.a.	n.a.	1.041	n.a.	n.a.	n.a.	n.a.	n.a.
151	NA	S-WC3I	64.620	n.a.	n.a.	n.a.	n.a.	38.694	n.a.	n.a.	n.a.	1.627	n.a.	n.a.	n.a.	n.a.	n.a.
152	NA	Extraction_blank_bremen	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.465	n.a.	n.a.	n.a.	n.a.	n.a.
153	NA	A-WC5E	3.566	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.030	n.a.	n.a.	n.a.	n.a.	n.a.
154	NA	S-WC3E	543.142	n.a.	n.a.	n.a.	n.a.	645.205	n.a.	n.a.	11.604	0.978	n.a.	n.a.	n.a.	n.a.	n.a.
155	NA	Extraction_standard_low	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.752	n.a.	n.a.	n.a.	n.a.	n.a.
156	NA	S-WC5I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.969	n.a.	n.a.	n.a.	n.a.	n.a.
157	NA	A-WC3I	22.968	n.a.	n.a.	n.a.	n.a.	9.247	n.a.	n.a.	n.a.	3.912	n.a.	n.a.	n.a.	n.a.	n.a.
158	NA	Extraction_blank_finland	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	43.336	n.a.	34.835	3.368	n.a.	n.a.	n.a.	n.a.	n.a.
159	NA	Extraction_standard_high	34.653	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.134	n.a.	n.a.	n.a.	n.a.	n.a.
160	NA	Standard	1245.422	1001.377	508.690	934.7170	499.320	864.258	1183.808	872.343	1212.916	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
161	NA	A-WC5E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
162	NA	S-WC2E	144.207	n.a.	n.a.	n.a.	n.a.	255.468	n.a.	n.a.	2.394	0.145	n.a.	n.a.	n.a.	n.a.	n.a.
