No. 	Standard_concentration	Sample	Injection_Name	Amount	Amount	Amount	Amount 	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount 	Amount 	Area 	Area 	Area	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 
23	NA	S-WC8I	36a	59.821	7.892	n.a.	n.a.	n.a.	30.365	n.a.	1.180	17.723	9.768	n.a.	8.018	1.654	n.a.	n.a.	0.097	0.022	0.023	0.016	0.028	0.115	0.104	0.039	0.062	0.003	n.a.	0.003	0.004	n.a.	n.a.
24	NA	S-WC10E	16b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	9.854	n.a.	n.a.	n.a.	n.a.	n.a.	0.028	n.a.	n.a.	n.a.	n.a.	0.038	0.051	0.025	0.024	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
25	NA	A-WC2E	6b	2128.439	16.672	1.059	n.a.	9.737	338.617	n.a.	16.807	102.645	11.635	n.a.	11.441	76.306	n.a.	n.a.	2.168	0.034	0.039	0.016	0.071	0.719	0.134	0.057	0.196	0.004	n.a.	0.005	0.029	n.a.	n.a.
26	NA	S-WC2I	25b	94.430	1.571	n.a.	n.a.	n.a.	74.112	n.a.	n.a.	8.797	11.061	n.a.	8.312	n.a.	n.a.	n.a.	0.131	0.014	0.010	0.006	0.014	0.201	0.082	0.038	0.048	0.004	n.a.	0.003	0.002	n.a.	n.a.
27	NA	S-WC3E	26a	1330.829	n.a.	n.a.	n.a.	n.a.	1370.422	n.a.	n.a.	40.540	13.308	n.a.	7.480	14.586	n.a.	n.a.	1.369	n.a.	n.a.	n.a.	0.018	2.739	0.085	0.029	0.098	0.004	n.a.	0.003	0.008	n.a.	n.a.
28	NA	S-WC1E	22b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	10.044	n.a.	3.618	n.a.	n.a.	n.a.	0.031	0.005	0.004	n.a.	0.011	0.030	0.064	0.022	0.030	0.003	n.a.	0.002	n.a.	n.a.	n.a.
29	NA	S-WC11E	18c	108.999	n.a.	n.a.	n.a.	n.a.	186.020	n.a.	9.302	12.471	9.180	n.a.	7.844	n.a.	n.a.	n.a.	0.146	0.010	0.020	0.006	0.016	0.420	0.093	0.049	0.054	0.003	n.a.	0.003	n.a.	n.a.	n.a.
30	NA	S-WC7E	34a	98.737	n.a.	n.a.	n.a.	n.a.	156.934	n.a.	3.488	6.642	10.877	n.a.	3.183	n.a.	n.a.	n.a.	0.136	0.011	0.013	0.006	0.017	0.363	0.076	0.042	0.045	0.004	n.a.	0.001	n.a.	n.a.	n.a.
31	NA	S-WC9E	37a	185.099	n.a.	n.a.	n.a.	n.a.	304.062	n.a.	9.131	11.416	9.732	n.a.	7.713	n.a.	n.a.	n.a.	0.222	0.006	0.011	n.a.	0.015	0.651	0.087	0.048	0.052	0.003	n.a.	0.003	n.a.	n.a.	n.a.
32	0.0002	Standard	1:5.000 Std. Mix in HCl	4.395	18.456	11.153	n.a.	13.559	3.855	n.a.	18.979	12.827	21.707	23.043	21.009	21.188	17.3700	n.a.	0.041	0.036	0.080	0.048	0.086	0.063	0.133	0.060	0.054	0.006	0.010	0.008	0.010	n.a.	0.004
33	NA	S-WC7E	34b	126.463	3.049	n.a.	n.a.	n.a.	201.702	n.a.	15.224	14.274	8.959	n.a.	3.649	n.a.	n.a.	n.a.	0.164	0.016	0.022	0.012	0.023	0.451	0.128	0.056	0.057	0.003	n.a.	0.002	0.002	n.a.	n.a.
34	NA	S-WC9E	37b	235.733	n.a.	n.a.	n.a.	n.a.	383.764	n.a.	15.368	12.949	7.335	n.a.	8.115	n.a.	n.a.	n.a.	0.273	0.012	0.021	0.010	0.020	0.807	0.093	0.056	0.055	0.003	n.a.	0.003	0.002	n.a.	n.a.
35	NA	S-WC12E	20c	6.680	n.a.	n.a.	n.a.	n.a.	4.103	n.a.	n.a.	8.480	8.220	n.a.	2.647	n.a.	n.a.	n.a.	0.044	0.006	0.012	0.004	0.020	0.064	0.095	0.037	0.047	0.003	n.a.	0.001	n.a.	n.a.	n.a.
36	NA	S-WC6E	32b	18.729	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.377	8.290	9.442	n.a.	9.204	n.a.	n.a.	n.a.	0.056	0.007	0.016	0.006	0.020	0.048	0.097	0.038	0.047	0.003	n.a.	0.004	n.a.	n.a.	n.a.
37	NA	Extraction_standard_high	50b	221.054	n.a.	n.a.	n.a.	n.a.	33.098	n.a.	n.a.	n.a.	9.794	n.a.	5.289	n.a.	n.a.	n.a.	0.258	n.a.	n.a.	n.a.	n.a.	0.121	0.047	0.026	0.022	0.003	n.a.	0.002	n.a.	n.a.	n.a.
38	NA	A-WC6E	14c	1201.748	13.033	n.a.	n.a.	2.680	138.406	n.a.	11.082	68.078	8.751	n.a.	7.712	39.881	n.a.	n.a.	1.240	0.029	0.034	0.012	0.044	0.327	0.106	0.051	0.141	0.003	n.a.	0.003	0.017	n.a.	n.a.
39	NA	S-WC8E	35c	26.428	0.808	n.a.	n.a.	n.a.	18.435	n.a.	19.994	14.671	12.716	n.a.	7.704	n.a.	n.a.	n.a.	0.063	0.013	0.021	0.014	0.024	0.092	0.109	0.061	0.057	0.004	n.a.	0.003	n.a.	n.a.	n.a.
40	NA	A-WC2I	7a	6.425	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	8.223	n.a.	1.995	n.a.	n.a.	n.a.	0.043	0.009	0.013	0.004	0.014	0.041	0.047	0.025	0.034	0.003	n.a.	0.001	n.a.	n.a.	n.a.
41	NA	S-WC11E	18a	69.599	n.a.	n.a.	n.a.	n.a.	129.175	n.a.	0.329	7.077	7.780	n.a.	n.a.	n.a.	n.a.	n.a.	0.107	0.008	0.012	0.003	0.016	0.309	0.104	0.038	0.045	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
42	NA	Extraction_blank_bremen	40b	68.531	n.a.	n.a.	n.a.	n.a.	7.966	n.a.	n.a.	4.857	5.473	n.a.	3.858	0.801	n.a.	n.a.	0.106	n.a.	n.a.	n.a.	n.a.	0.071	0.062	0.033	0.042	0.002	n.a.	0.002	0.003	n.a.	n.a.
43	0.0004	Standard	1:2500 Std. Mix in HCl	47.182	41.917	31.816	48.7342	34.952	38.066	197.854	49.586	41.358	30.869	40.349	35.848	47.881	35.2561	n.a.	0.084	0.067	0.166	0.112	0.168	0.130	0.502	0.096	0.099	0.008	0.016	0.014	0.019	n.a.	0.006
44	NA	S-WC4I	29b	110.097	0.087	n.a.	n.a.	n.a.	148.833	25.940	8.228	13.621	10.222	n.a.	5.992	n.a.	n.a.	n.a.	0.147	0.012	0.019	0.009	0.027	0.347	0.198	0.047	0.056	0.003	n.a.	0.003	0.002	n.a.	n.a.
45	NA	Extraction_blank_bremen	41b	9.716	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.430	n.a.	6.794	n.a.	6.2618	n.a.	0.047	n.a.	n.a.	n.a.	n.a.	0.023	0.052	0.022	0.020	0.003	n.a.	0.003	n.a.	n.a.	n.a.
46	NA	A-WC5I	13b	60.310	0.613	n.a.	n.a.	n.a.	123.954	n.a.	1.492	4.444	6.424	n.a.	6.075	n.a.	4.7884	n.a.	0.097	0.013	0.013	0.005	0.020	0.299	0.076	0.039	0.041	0.003	n.a.	0.003	0.002	n.a.	n.a.
47	NA	Dialysis_blank_concentrated	MQ 9b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	557.485	1440.512	1008.443	9.105	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.019	0.051	1.138	1.721	1.622	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
48	NA	S-WC9E	37c	190.747	n.a.	n.a.	n.a.	n.a.	346.930	n.a.	6.502	16.543	8.672	n.a.	7.377	n.a.	5.3505	n.a.	0.228	0.008	0.012	n.a.	0.017	0.735	0.139	0.045	0.060	0.003	n.a.	0.003	0.002	n.a.	n.a.
49	NA	S-WC9I	38b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.639	n.a.	n.a.	n.a.	5.0257	n.a.	0.010	n.a.	n.a.	n.a.	n.a.	0.020	0.062	0.020	0.016	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
50	NA	S-WC6E	32a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	5.908	n.a.	n.a.	n.a.	8.3650	n.a.	0.026	0.004	0.006	n.a.	0.006	0.023	0.062	0.020	0.023	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
51	NA	A-WC4E	10a	1336.503	6.926	2.446	n.a.	9.163	162.413	n.a.	16.374	92.167	6.556	n.a.	n.a.	70.757	17.1767	n.a.	1.375	0.021	0.044	0.007	0.069	0.374	0.143	0.057	0.179	0.003	n.a.	n.a.	0.027	n.a.	n.a.
52	NA	S-WC7E	34c	124.195	n.a.	n.a.	n.a.	n.a.	217.011	n.a.	17.602	14.170	4.214	n.a.	5.011	n.a.	5.9777	n.a.	0.161	0.009	0.015	0.002	0.021	0.481	0.119	0.058	0.056	0.002	n.a.	0.002	0.002	n.a.	n.a.
53	NA	S-WC12E	20a	1.545	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.101	n.a.	n.a.	n.a.	5.5386	n.a.	0.039	0.008	0.012	0.006	0.016	0.046	0.072	0.032	0.027	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
54	0.001	Standard	1:1000 Std. Mix in HCl	156.863	94.528	82.681	105.3096	89.803	129.650	143.093	144.094	132.254	65.827	106.685	79.373	104.942	53.9792	n.a.	0.194	0.135	0.376	0.185	0.379	0.310	0.405	0.206	0.242	0.015	0.039	0.032	0.039	0.020	0.021
55	NA	Extraction_blank_finland	1a	45.081	n.a.	n.a.	n.a.	n.a.	123.401	n.a.	n.a.	n.a.	4.579	n.a.	3.783	n.a.	n.a.	n.a.	0.082	n.a.	n.a.	n.a.	n.a.	0.297	0.075	0.037	0.034	0.002	n.a.	0.002	n.a.	n.a.	n.a.
56	NA	S-WC5I	31b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.193	1.730	n.a.	4.084	n.a.	n.a.	n.a.	0.035	0.005	0.011	0.004	0.016	0.037	0.081	0.036	0.038	0.002	n.a.	0.002	n.a.	n.a.	n.a.
57	NA	Extraction_blank_bremen	39b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.176	n.a.	1.901	n.a.	n.a.	n.a.	0.020	n.a.	n.a.	n.a.	n.a.	0.011	0.059	0.007	n.a.	0.002	n.a.	0.001	n.a.	n.a.	n.a.
58	NA	S-WC10I	17b	228.755	n.a.	n.a.	n.a.	n.a.	20.527	n.a.	n.a.	14.991	3.900	n.a.	4.327	n.a.	n.a.	n.a.	0.266	0.011	0.016	0.003	0.018	0.096	0.085	0.032	0.058	0.002	n.a.	0.002	n.a.	n.a.	n.a.
59	NA	Extraction_blank_finland	2c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	5.074	n.a.	n.a.	n.a.	n.a.	n.a.	0.026	n.a.	n.a.	n.a.	n.a.	0.028	0.076	0.017	0.016	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
60	NA	S-WC12E	20b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.121	n.a.	n.a.	n.a.	n.a.	n.a.	0.020	0.002	0.003	n.a.	0.010	0.026	0.059	0.017	0.024	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
61	NA	A-WC4E	10c	1264.481	11.720	1.509	n.a.	3.531	140.486	n.a.	13.241	80.700	5.850	n.a.	3.188	48.902	n.a.	n.a.	1.303	0.027	0.041	0.014	0.047	0.331	0.118	0.053	0.161	0.003	n.a.	0.001	0.020	n.a.	n.a.
62	NA	A-WC2E	6c	1595.166	14.731	2.546	n.a.	8.030	292.891	n.a.	7.681	67.831	5.323	n.a.	2.893	38.146	n.a.	n.a.	1.634	0.031	0.045	0.019	0.065	0.629	0.126	0.047	0.141	0.002	n.a.	0.001	0.016	n.a.	n.a.
63	NA	S-WC6I	33a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.374	n.a.	n.a.	n.a.	n.a.	n.a.	0.027	0.005	0.010	0.002	0.015	0.034	0.045	0.025	0.027	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
64	NA	S-WC11I	19b	170.286	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.017	5.773	n.a.	n.a.	n.a.	n.a.	n.a.	0.207	0.006	0.015	0.007	0.018	0.052	0.111	0.029	0.039	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
65	0.002	Standard	1:500 Std. Mix in HCl	281.498	173.498	167.409	190.2795	177.595	266.859	310.232	277.200	260.399	115.146	194.766	183.024	194.137	91.7326	n.a.	0.319	0.238	0.727	0.293	0.717	0.578	0.701	0.362	0.444	0.025	0.070	0.073	0.069	n.a.	0.045
66	NA	Extraction_standard_low	47a	27.455	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.625	n.a.	n.a.	n.a.	5.6850	n.a.	0.064	n.a.	n.a.	n.a.	n.a.	0.019	0.052	0.014	0.012	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
67	NA	Extraction_standard_high	49a	145.168	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.522	n.a.	n.a.	n.a.	3.5695	n.a.	0.182	n.a.	n.a.	n.a.	n.a.	0.036	0.046	0.020	0.023	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
68	NA	A-WC2I	7c	7.663	n.a.	n.a.	n.a.	n.a.	1.330	n.a.	n.a.	n.a.	3.499	n.a.	n.a.	n.a.	4.6346	n.a.	0.045	0.009	0.014	0.006	0.019	0.058	0.074	0.025	0.028	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
69	NA	S-WC8E	35a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	8.556	n.a.	n.a.	n.a.	4.8702	n.a.	0.032	0.003	0.008	0.005	0.021	0.048	0.053	0.024	0.026	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
70	NA	S-WC10E	16a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.337	n.a.	n.a.	n.a.	3.5090	n.a.	0.023	0.002	0.005	n.a.	0.006	0.053	0.037	0.027	0.024	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
71	NA	Extraction_standard_low	45b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.937	n.a.	n.a.	n.a.	4.9112	n.a.	0.030	n.a.	n.a.	n.a.	n.a.	0.021	0.030	0.012	0.016	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
72	NA	Extraction_blank_bremen	43a	23.900	n.a.	n.a.	n.a.	n.a.	1.174	n.a.	n.a.	n.a.	7.851	n.a.	n.a.	n.a.	3.8280	n.a.	0.061	n.a.	n.a.	n.a.	n.a.	0.058	0.037	0.010	0.006	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
73	NA	A-WC6I	15b	772.249	7.161	n.a.	n.a.	2.409	141.243	n.a.	n.a.	63.023	10.437	n.a.	n.a.	41.900	4.7088	n.a.	0.810	0.021	0.031	0.010	0.043	0.332	0.100	0.035	0.133	0.003	n.a.	n.a.	0.017	n.a.	n.a.
74	NA	S-WC2E	24c	219.433	n.a.	n.a.	n.a.	n.a.	397.907	n.a.	n.a.	13.544	10.739	n.a.	8.769	n.a.	4.7120	n.a.	0.257	0.007	0.014	0.005	0.020	0.835	0.075	0.034	0.055	0.004	n.a.	0.004	0.003	n.a.	n.a.
75	NA	Extraction_blank_bremen	44a	8.714	n.a.	n.a.	n.a.	n.a.	10.643	n.a.	n.a.	n.a.	8.269	n.a.	n.a.	n.a.	7.3220	n.a.	0.046	n.a.	n.a.	n.a.	n.a.	0.077	0.038	0.011	0.010	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
76	0.01	Standard	1:100 Std. Mix in HCl	1057.480	716.332	718.972	693.0798	773.312	953.573	1323.806	1071.459	1023.294	676.131	806.328	766.333	867.583	444.2405	505.6649	1.096	0.947	3.010	0.933	3.010	1.923	2.493	1.290	1.645	0.140	0.282	0.304	0.297	0.103	0.256
77	NA	A-WC6E	14a	804.849	5.866	1.866	n.a.	6.364	125.143	n.a.	n.a.	48.643	10.546	n.a.	n.a.	29.895	6.6328	n.a.	0.843	0.020	0.042	0.012	0.058	0.301	0.098	0.025	0.111	0.004	n.a.	n.a.	0.013	n.a.	n.a.
78	NA	A-WC2I	7b	12.380	n.a.	n.a.	n.a.	n.a.	7.753	n.a.	n.a.	6.527	4.938	n.a.	5.237	n.a.	4.8146	n.a.	0.049	0.012	0.021	0.011	0.025	0.071	0.099	0.037	0.044	0.002	n.a.	0.002	n.a.	n.a.	n.a.
79	NA	Extraction_blank_bremen	39a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	33.954	n.a.	n.a.	4.119	n.a.	8.162	n.a.	4.1765	n.a.	0.026	n.a.	n.a.	n.a.	n.a.	0.016	0.212	0.009	n.a.	0.002	n.a.	0.003	n.a.	n.a.	n.a.
80	NA	S-WC10I	17a	220.675	n.a.	n.a.	n.a.	n.a.	24.710	n.a.	n.a.	13.370	9.111	n.a.	4.169	n.a.	2.5093	n.a.	0.258	0.008	0.014	0.006	0.025	0.104	0.108	0.031	0.055	0.003	n.a.	0.002	0.001	n.a.	n.a.
81	NA	Extraction_blank_bremen	42b	4.869	n.a.	n.a.	n.a.	n.a.	12.022	n.a.	n.a.	n.a.	8.596	n.a.	2.476	n.a.	4.1978	n.a.	0.042	n.a.	n.a.	n.a.	n.a.	0.079	0.099	0.015	0.017	0.003	n.a.	0.001	n.a.	n.a.	n.a.
82	NA	S-WC11E	18b	23.659	n.a.	n.a.	n.a.	n.a.	81.774	n.a.	n.a.	n.a.	7.846	n.a.	n.a.	n.a.	3.8150	n.a.	0.061	0.007	0.009	n.a.	0.009	0.216	0.078	0.026	0.026	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
83	NA	S-WC1I	23b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.004	n.a.	4.601	n.a.	4.4899	n.a.	0.032	0.005	0.009	0.004	0.012	0.041	0.041	0.019	0.031	0.003	n.a.	0.002	n.a.	n.a.	n.a.
84	NA	Extraction_standard_low	47b	5.834	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.711	n.a.	3.023	n.a.	4.9112	n.a.	0.043	n.a.	n.a.	n.a.	n.a.	0.013	0.044	0.009	0.012	0.002	n.a.	0.001	n.a.	n.a.	n.a.
85	NA	S-WC8E	35b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.963	n.a.	n.a.	n.a.	10.4584	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.037	n.a.	n.a.	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
